Yaw,Pitch,Roll,UncompAccX,UncompAccY,UncompAccZ,UncompGyroX,UncompGyroY,UncompGyroZ,Temperature,Pressure,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,QuatX,QuatY,QuatZ,QuatS,LinAccelX,LinAccelY,LinAccelZ,LinAccelN,LinAccelE,LinAccelD
+075.854,+000.470,-000.483,+00.0526,+00.0737,-09.7776,+00.008595,-00.006843,-00.022879,+024.80,+098.22,+0.095,-0.045,+0.041,+00.0526,+00.0737,-09.7776,-00.000312,+00.000448,-00.006103,-0.0058441,+0.000647309,+0.614662,+0.788769,-00.0084,-00.0218,+00.0118,+00.0190,-00.0133,+00.0121
+075.851,+000.470,-000.482,+00.0704,+00.0775,-09.7624,+00.010129,-00.007124,-00.021217,+024.79,+098.22,+0.095,-0.047,+0.038,+00.0704,+00.0775,-09.7624,+00.001222,+00.000167,-00.004442,-0.00584169,+0.0006487,+0.614642,+0.788785,-00.0100,-00.0049,+00.0307,+00.0022,-00.0106,+00.0308
+075.849,+000.470,-000.483,+00.0956,+00.0781,-09.7629,+00.009114,-00.006892,-00.021892,+024.80,+098.22,+0.094,-0.048,+0.038,+00.0956,+00.0781,-09.7629,+00.000206,+00.000400,-00.005116,-0.0058439,+0.000647486,+0.614624,+0.788799,-00.0088,+00.0001,+00.0206,-00.0023,-00.0083,+00.0207
+075.846,+000.470,-000.483,+00.1066,+00.0647,-09.7344,+00.008904,-00.008243,-00.022043,+024.79,+098.22,+0.094,-0.047,+0.038,+00.1066,+00.0647,-09.7344,-00.000003,-00.000952,-00.005268,-0.00584225,+0.000644781,+0.614602,+0.788815,+00.0263,-00.0178,+00.0587,+00.0234,+00.0217,+00.0586
+075.843,+000.470,-000.483,+00.0761,+00.0892,-09.7932,+00.008579,-00.007950,-00.022375,+024.80,+098.22,+0.096,-0.046,+0.038,+00.0761,+00.0892,-09.7932,-00.000328,-00.000658,-00.005599,-0.00584507,+0.000641126,+0.614587,+0.788828,-00.0130,+00.0041,-00.0089,-00.0071,-00.0117,-00.0088
+075.840,+000.470,-000.483,+00.0667,+00.0924,-09.7789,+00.009379,-00.006675,-00.023462,+024.80,+098.22,+0.094,-0.046,+0.039,+00.0667,+00.0924,-09.7789,+00.000472,+00.000616,-00.006686,-0.00584551,+0.000641822,+0.614561,+0.788847,-00.0136,+00.0098,+00.0142,-00.0129,-00.0107,+00.0142
+075.838,+000.469,-000.483,+00.0804,+00.1004,-09.7680,+00.008405,-00.008434,-00.021215,+024.80,+098.22,+0.096,-0.046,+0.036,+00.0804,+00.1004,-09.7680,-00.000503,-00.001143,-00.004439,-0.00584606,+0.000639136,+0.614548,+0.788858,+00.0204,+00.0158,+00.0330,-00.0105,+00.0240,+00.0327
+075.836,+000.470,-000.484,+00.0649,+00.0742,-09.7420,+00.008574,-00.006618,-00.019491,+024.78,+098.22,+0.094,-0.048,+0.037,+00.0649,+00.0742,-09.7420,-00.000333,+00.000673,-00.002716,-0.0058473,+0.000639173,+0.614534,+0.788868,-00.0153,-00.0084,+00.0511,+00.0041,-00.0164,+00.0513
+075.835,+000.469,-000.483,+00.0954,+00.0876,-09.7584,+00.008943,-00.007606,-00.018207,+024.79,+098.23,+0.094,-0.048,+0.038,+00.0954,+00.0876,-09.7584,+00.000036,-00.000315,-00.001431,-0.00584485,+0.000638525,+0.614529,+0.788872,-00.0181,+00.0110,+00.0361,-00.0153,-00.0145,+00.0361
+075.835,+000.469,-000.483,+00.0576,+00.1059,-09.7814,+00.009628,-00.007678,-00.018078,+024.80,+098.22,+0.095,-0.047,+0.037,+00.0576,+00.1059,-09.7814,+00.000720,-00.000387,-00.001303,-0.00584411,+0.000640921,+0.614526,+0.788875,-00.0227,+00.0233,+00.0117,-00.0282,-00.0161,+00.0117
